Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE Selected Category Scheme: WoS,,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,CA-A CANCER JOURNAL FOR CLINICIANS,"20,488",131.723,0.062610,
2,NEW ENGLAND JOURNAL OF MEDICINE,"283,525",59.558,0.685630,
3,NATURE REVIEWS DRUG DISCOVERY,"25,460",47.120,0.062940,
4,LANCET,"195,553",44.002,0.408170,
5,NATURE BIOTECHNOLOGY,"48,650",43.113,0.157710,
6,NATURE REVIEWS IMMUNOLOGY,"31,545",39.416,0.087600,
7,NATURE MATERIALS,"72,306",38.891,0.207990,
8,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"36,784",38.602,0.099690,
9,NATURE,"627,846",38.138,1.447620,
10,Annual Review of Astronomy and Astrophysics,"9,000",37.846,0.020210,
11,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"129,909",37.684,0.275180,
12,CHEMICAL REVIEWS,"148,154",37.369,0.245480,
13,NATURE REVIEWS GENETICS,"30,286",35.898,0.107250,
14,Annual Review of Immunology,"17,023",35.543,0.036700,
15,Nature Nanotechnology,"40,881",35.267,0.167690,
16,SCIENCE,"568,210",34.661,1.157260,
17,NATURE REVIEWS CANCER,"41,846",34.244,0.088190,
18,CHEMICAL SOCIETY REVIEWS,"99,930",34.090,0.270410,
19,REVIEWS OF MODERN PHYSICS,"41,133",33.177,0.097350,
20,Living Reviews in Relativity,"2,038",32.000,0.007370,
21,NATURE GENETICS,"86,870",31.616,0.255300,
22,Nature Photonics,"28,381",31.167,0.135890,
23,PROGRESS IN MATERIALS SCIENCE,"9,196",31.083,0.016800,
24,PHYSIOLOGICAL REVIEWS,"24,788",30.924,0.035650,
25,NATURE MEDICINE,"65,230",30.357,0.162500,
26,NATURE REVIEWS NEUROSCIENCE,"33,792",29.298,0.072670,
27,CELL,"202,467",28.710,0.557250,
28,Nature Chemistry,"21,232",27.893,0.103340,
29,PROGRESS IN POLYMER SCIENCE,"21,240",27.184,0.033050,
30,LANCET ONCOLOGY,"30,800",26.509,0.117510,
31,Energy & Environmental Science,"48,114",25.427,0.165020,
32,NATURE METHODS,"38,428",25.328,0.203020,
33,NATURE REVIEWS MICROBIOLOGY,"21,053",24.727,0.065180,
34,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"5,802",24.652,0.006260,
35,IMMUNITY,"39,637",24.082,0.133680,
36,Annual Review of Pathology-Mechanisms of Disease,"3,448",23.758,0.013320,
37,LANCET NEUROLOGY,"21,460",23.468,0.065870,
38,CANCER CELL,"29,149",23.214,0.102890,
39,Cell Stem Cell,"18,575",22.387,0.091720,
40,Annual Review of Plant Biology,"16,767",22.131,0.019810,
41,ACCOUNTS OF CHEMICAL RESEARCH,"58,876",22.003,0.123600,
42,Annual Review of Biochemistry,"19,244",21.407,0.035180,
43,LANCET INFECTIOUS DISEASES,"14,964",21.372,0.053580,
44,JOURNAL OF CLINICAL ONCOLOGY,"141,362",20.982,0.326090,
45,BEHAVIORAL AND BRAIN SCIENCES,"7,873",20.415,0.012900,
46,World Psychiatry,"2,410",20.205,0.006880,
47,Cancer Discovery,"6,602",19.783,0.047310,
48,BMJ-British Medical Journal,"93,118",19.697,0.160460,
49,NATURE IMMUNOLOGY,"36,446",19.381,0.114020,
50,Living Reviews in Solar Physics,926,19.333,0.004730,
51,Annual Review of Psychology,"14,292",19.085,0.019970,
52,ADVANCED MATERIALS,"141,386",18.960,0.326700,
53,Nature Physics,"24,452",18.791,0.130060,
54,Nature Reviews Clinical Oncology,"5,447",18.786,0.028180,
55,NATURE CELL BIOLOGY,"35,807",18.699,0.104800,
56,Nature Reviews Neurology,"5,336",18.418,0.027630,
57,PHARMACOLOGICAL REVIEWS,"11,737",18.393,0.017880,
58,GASTROENTEROLOGY,"67,726",18.187,0.132060,
59,ADVANCES IN PHYSICS,"5,030",18.000,0.005950,
60,TRENDS IN COGNITIVE SCIENCES,"21,382",17.850,0.047340,
61,Materials Today,"6,389",17.793,0.015030,
62,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"84,932",17.759,0.215560,
63,Cell Metabolism,"21,343",17.303,0.088970,
64,Nature Climate Change,"9,526",17.184,0.067710,
65,CIRCULATION,"155,582",17.047,0.270210,
66,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"7,884",16.784,0.012450,
67,TRENDS IN ECOLOGY & EVOLUTION,"30,421",16.735,0.048860,
68,NATURE NEUROSCIENCE,"51,112",16.724,0.155250,
69,ANNALS OF INTERNAL MEDICINE,"49,618",16.440,0.096010,
70,Annual Review of Condensed Matter Physics,"1,486",16.379,0.013260,
71,Lancet Diabetes & Endocrinology,"2,026",16.320,0.011350,
72,Science Translational Medicine,"17,066",16.264,0.115420,
73,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"22,898",16.240,0.030470,
74,CLINICAL MICROBIOLOGY REVIEWS,"14,832",16.187,0.020170,
75,Annual Review of Physiology,"8,496",15.754,0.015420,
76,ADVANCED DRUG DELIVERY REVIEWS,"29,225",15.606,0.041630,
77,Nature Reviews Endocrinology,"4,758",15.432,0.022650,
78,Lancet Respiratory Medicine,"2,343",15.328,0.011890,
79,Advanced Energy Materials,"15,724",15.230,0.057620,
80,EUROPEAN HEART JOURNAL,"43,381",15.064,0.129810,
81,EUROPEAN UROLOGY,"23,702",14.976,0.065100,
82,GUT,"35,914",14.921,0.065190,
83,ENDOCRINE REVIEWS,"12,433",14.898,0.012620,
84,PSYCHOLOGICAL BULLETIN,"39,345",14.839,0.032130,
85,CELL RESEARCH,"10,393",14.812,0.035980,
86,Annual Review of Pharmacology and Toxicology,"7,434",14.769,0.010900,
87,Lancet Global Health,"1,379",14.722,0.008410,
88,Nature Reviews Gastroenterology & Hepatology,"4,337",14.435,0.020310,
89,JAMA Psychiatry,"4,034",14.417,0.021680,
90,Applied Physics Reviews,458,14.310,0.002840,
91,Annual Review of Neuroscience,"13,125",14.265,0.020760,
92,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"10,208",14.167,0.014690,
93,JAMA Internal Medicine,"5,590",14.000,0.040090,
94,NEURON,"78,507",13.974,0.223000,
95,MOLECULAR CELL,"53,714",13.958,0.193270,
96,STUDIES IN MYCOLOGY,"1,932",13.889,0.003570,
97,NANO LETTERS,"129,399",13.779,0.367750,
98,FEMS MICROBIOLOGY REVIEWS,"9,277",13.687,0.018390,
99,MOLECULAR BIOLOGY AND EVOLUTION,"38,486",13.649,0.103670,
100,Light-Science & Applications,"1,724",13.600,0.007670,
101,PLOS MEDICINE,"20,499",13.585,0.062070,
102,Annual Review of Entomology,"10,622",13.534,0.010750,
103,Annual Review of Physical Chemistry,"8,077",13.527,0.014080,
104,AMERICAN JOURNAL OF PSYCHIATRY,"41,752",13.505,0.046570,
105,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"25,671",13.338,0.104340,
106,ACS Nano,"97,676",13.334,0.357460,
